"","crianca","video","frente","fundo","errado"
"613","maril.2","A6",1,1,1
"614","maril.2","B1",0,1,1
"615","maril.2","B2",1,1,1
"616","maril.2","B5",1,1,1
"617","maril.2","B6",0,1,1
"618","maril.2","B7",0,1,1
"619","maril.2","D1",0,1,1
"620","maril.2","D2",0,1,1
"621","maril.2","D4",0,0,0
"622","maril.2","D5",0,1,1
"623","maril.2","D7",0,1,1
"624","miguel","A2",1,1,1
"625","miguel","A3",0,1,1
"626","miguel","A4",0,1,1
"627","miguel","A6",1,1,1
"628","miguel","B1",0,1,1
"629","miguel","B5",1,1,1
"630","miguel","B6",0,1,1
"631","miguel","B7",1,1,1
"632","miguel","D1",0,1,1
"633","miguel","D2",1,1,1
"634","miguel","D4",0,1,1
"635","miguel","D5",1,1,1
"636","miguel","D7",0,1,1
"637","miguel3","A1",0,1,1
"638","miguel3","A2",1,1,1
"639","miguel3","A3",0,1,1
"640","miguel3","A4",0,1,1
"641","miguel3","A6",1,1,1
"642","miguel3","B1",0,1,1
"643","miguel3","B2",1,1,1
"644","miguel3","B5",1,1,1
"645","miguel3","B7",0,1,1
"646","miguel3","D1",0,1,1
"647","miguel3","D2",1,1,1
"648","miguel3","D4",0,1,1
"649","miguel3","D5",1,1,1
"650","miguel3","D7",0,1,1
"651","murilo","A1",0,1,1
"652","murilo","A2",1,1,1
"653","murilo","A3",0,1,1
"654","murilo","A4",1,1,1
"655","murilo","A6",1,1,1
"656","murilo","B1",0,1,1
"657","murilo","B5",1,1,1
"658","murilo","B6",0,1,1
"659","murilo","B7",0,1,1
"660","murilo","D1",0,1,1
"661","murilo","D2",1,1,1
"662","murilo","D4",1,1,1
"663","murilo","D5",0,0,0
"664","murilo","D7",0,1,1
"665","olivia","A2",1,1,1
"666","olivia","A3",0,1,1
"667","olivia","A4",0,1,1
"668","olivia","B1",0,1,1
"669","olivia","B2",1,1,1
"670","olivia","B5",1,0,0
"671","olivia","B6",0,1,1
"672","olivia","B7",0,1,1
"673","olivia","D1",0,0,0
"674","olivia","D2",0,1,1
"675","olivia","D4",0,1,1
"676","olivia","D5",0,1,1
"677","olivia","D7",0,1,1
"678","paulo","A1",1,1,1
"679","paulo","A2",1,1,1
"680","paulo","A3",0,1,1
"681","paulo","A4",0,1,1
"682","paulo","A6",1,0,0
"683","paulo","B1",0,1,1
"684","paulo","B2",1,1,1
"685","paulo","B5",1,1,1
"686","paulo","B6",1,1,1
"687","paulo","B7",1,1,1
"688","paulo","D1",0,1,1
"689","paulo","D2",0,1,1
"690","paulo","D5",1,1,1
"691","paulo","D7",0,1,1
"692","pedro","A1",1,0,0
"693","pedro","A2",0,0,0
"694","pedro","A3",0,0,0
"695","pedro","A6",1,1,1
"696","pedro","B1",0,1,1
"697","pedro","B2",0,0,0
"698","pedro","B5",1,0,0
"699","pedro","B7",0,1,1
"700","pedro","D1",0,0,0
"701","pedro","D2",0,0,0
"702","pedro","D4",0,1,1
"703","pedro","D5",1,0,0
"704","pedro","D7",0,1,1
"705","pedro2","A1",0,1,1
"706","pedro2","A2",1,1,1
"707","pedro2","A3",0,1,1
"708","pedro2","A4",0,1,1
"709","pedro2","A6",1,1,1
"710","pedro2","B1",0,1,1
"711","pedro2","B2",1,1,1
"712","pedro2","B5",1,1,1
"713","pedro2","B6",0,1,1
"714","pedro2","B7",1,1,1
"715","pedro2","D1",0,1,1
"716","pedro2","D2",1,1,1
"717","pedro2","D4",0,1,1
"718","pedro2","D5",0,1,1
"719","pedro2","D7",0,1,1
"720","rafa.2","A1",1,0,0
"721","rafa.2","A3",0,0,0
"722","rafa.2","A4",0,1,1
"723","rafa.2","A6",1,1,1
"724","rafa.2","B1",0,0,0
"725","rafa.2","B2",1,1,1
"726","rafa.2","B5",1,0,0
"727","rafa.2","D2",0,1,1
"728","rafa.2","D7",0,1,1
"729","rafael","A2",1,1,1
"730","rafael","A3",0,1,1
"731","rafael","B1",0,1,1
"732","rafael","B2",0,1,1
"733","rafael","B5",1,0,0
"734","rafael","B6",0,1,1
"735","rafael","B7",0,1,1
"736","rafael","D2",1,0,0
"737","rafael","D4",1,0,0
"738","rafael","D5",1,1,1
"739","rafael","D7",0,1,1
"740","ruben","A1",0,1,1
"741","ruben","A2",1,1,1
"742","ruben","A3",0,1,1
"743","ruben","A4",0,1,1
"744","ruben","A6",0,1,1
"745","ruben","B1",0,1,1
"746","ruben","B2",1,1,1
"747","ruben","B5",1,1,1
"748","ruben","B6",0,1,1
"749","ruben","D1",0,1,1
"750","ruben","D2",1,0,0
"751","ruben","D4",0,1,1
"752","ruben","D5",1,1,1
"753","ruben","D7",0,1,1
"754","sarah","A1",0,1,1
"755","sarah","A2",1,1,1
"756","sarah","A3",0,1,1
"757","sarah","A4",0,1,1
"758","sarah","A6",0,0,0
"759","sarah","B1",0,1,1
"760","sarah","B7",1,0,0
"761","sarah","D1",0,1,1
"762","sarah","D4",0,1,1
"763","sarah","D5",1,0,0
"764","sarah","D7",0,1,1
"765","sarah.2","A1",0,1,1
"766","sarah.2","A2",1,1,1
"767","sarah.2","A3",0,1,1
"768","sarah.2","A4",0,1,1
"769","sarah.2","A6",0,1,1
"770","sarah.2","B1",0,1,1
"771","sarah.2","B2",1,1,1
"772","sarah.2","B5",1,1,1
"773","sarah.2","B7",0,1,1
"774","sarah.2","D1",0,1,1
"775","sarah.2","D2",1,1,1
"776","sarah.2","D4",0,1,1
"777","sarah.2","D5",0,1,1
"778","sarah.2","D7",0,1,1
"779","teofinal","A1",0,1,1
"780","teofinal","A3",0,1,1
"781","teofinal","A4",0,1,1
"782","teofinal","A6",0,1,1
"783","teofinal","B1",0,1,1
"784","teofinal","B2",0,1,1
"785","teofinal","B5",1,1,1
"786","teofinal","B6",0,1,1
"787","teofinal","D1",0,1,1
"788","teofinal","D2",1,1,1
"789","teofinal","D4",1,1,1
"790","teofinal","D5",1,1,1
"791","teofinal","D7",0,1,1
"792","theo","A1",0,1,1
"793","theo","A2",0,1,1
"794","theo","A3",0,1,1
"795","theo","A4",0,1,1
"796","theo","A6",0,1,1
"797","theo","B1",0,1,1
"798","theo","B2",0,1,1
"799","theo","B5",0,1,1
"800","theo","B6",0,1,1
"801","theo","B7",0,1,1
"802","theo","D1",0,1,1
"803","theo","D2",0,1,1
"804","theo","D4",0,1,1
"805","theo","D5",0,1,1
"806","theo","D7",0,1,1
"807","valen","A1",0,1,1
"808","valen","A4",0,1,1
"809","valen","A6",1,0,0
"810","valen","B1",0,1,1
"811","valen","B2",1,1,1
"812","valen","B5",1,1,1
"813","valen","B6",0,1,1
"814","valen","B7",0,1,1
"815","valen","D1",0,1,1
"816","valen","D2",1,0,0
"817","valen","D4",0,1,1
"818","valen","D5",1,0,0
"819","valen","D7",0,1,1
"820","yara","A1",1,1,1
"821","yara","A2",0,1,1
"822","yara","A3",0,1,1
"823","yara","A6",0,0,0
"824","yara","B1",0,1,1
"825","yara","B2",1,1,1
"826","yara","B5",1,1,1
"827","yara","B6",0,1,1
"828","yara","B7",0,1,1
"829","yara","D1",1,1,1
"830","yara","D2",1,0,0
"831","yara","D4",0,1,1
"832","yara","D5",1,1,1
"833","yara","D7",0,1,1
"834","yara.2","A1",0,1,1
"835","yara.2","A2",1,1,1
"836","yara.2","A3",0,1,1
"837","yara.2","A4",1,1,1
"838","yara.2","A6",1,0,0
"839","yara.2","B1",0,1,1
"840","yara.2","B2",1,1,1
"841","yara.2","B5",1,1,1
"842","yara.2","B6",0,1,1
"843","yara.2","B7",0,1,1
"844","yara.2","D1",0,1,1
"845","yara.2","D2",1,0,0
"846","yara.2","D4",1,1,1
