"","crianca","video","frente_fundo","fundo_frente","fundo_errado","errado_fundo","frente_errado","errado_frente","olhou_pro_errado","acerto_frente","indice_alternancia_rja","indice_alternancia_ija","indice_alternancia_objeto","total_acerto_frente","total_olhou_errado","fixation_acerto_frente","fixation_olhou_pro_errado","indice_acerto","condicao","pre_pos"
"136","diana","A6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ija","-"
"137","diana","B2",0,1,0,0,0,0,0,1,1,0,0,738,0,428,0,1,"ija","-"
"138","diana","B5",0,1,0,0,0,0,0,1,1,0,0,882,0,410,0,1,"ija","-"
"139","diana","B6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rja","-"
"140","diana","B7",0,0,0,0,0,0,0,1,0,0,0,231,0,231,0,1,"rja","-"
"141","diana","D1",1,0,0,0,0,0,0,1,0,1,0,6,0,6,0,1,"rja","-"
"142","diana","D2",0,1,0,0,0,0,0,1,1,0,0,66,0,66,0,1,"ija","-"
"143","diana","D4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rja","-"
"144","diana","D5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ija","-"
"145","edu.2","A1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rja","1"
"146","edu.2","A2",1,0,0,0,0,0,0,1,0,1,0,588,0,588,0,1,"ija","1"
"147","edu.2","A4",0,1,0,0,0,0,0,1,1,0,0,328,0,328,0,1,"rja","1"
"148","edu.2","A6",0,0,0,0,0,0,0,1,0,0,0,362,0,362,0,1,"ija","1"
"149","edu.2","B2",0,0,0,0,0,0,0,1,0,0,0,810,0,810,0,1,"ija","1"
"150","edu.2","B5",0,1,0,0,0,0,0,1,1,0,0,440,0,334,0,1,"ija","1"
"151","edu.2","B6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rja","1"
"152","edu.2","B7",0,0,0,1,0,0,1,0,0,-1,0,0,0,0,0,-1,"rja","1"
"153","edu.2","D1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rja","1"
"154","edu.2","D2",1,1,0,0,0,0,0,1,1,1,0,592,0,370,0,1,"ija","1"
"155","emanuela","A1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rja","0"
"156","emanuela","A2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ija","0"
"157","emanuela","A4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rja","0"
"158","emanuela","A6",0,0,0,0,0,0,0,1,0,0,0,352,0,294,0,1,"ija","0"
"159","emanuela","B2",1,1,0,0,0,0,0,1,1,1,0,528,0,528,0,1,"ija","0"
"160","emanuela","B5",1,1,0,0,0,0,0,1,1,1,0,486,0,254,0,1,"ija","0"
"161","emanuela","B6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rja","0"
"162","emanuela","B7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rja","0"
"163","emanuela","D1",0,1,0,0,0,0,0,1,1,0,0,158,0,158,0,1,"rja","0"
"164","emanuela","D2",1,1,0,0,0,0,0,1,1,1,0,498,0,498,0,1,"ija","0"
"165","emanuela","D5",0,1,0,0,0,0,0,1,1,0,0,436,0,436,0,1,"ija","0"
"166","emanuele","A1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rja","1"
"167","emanuele","A2",1,1,0,0,0,0,0,1,1,1,0,604,0,604,0,1,"ija","1"
"168","emanuele","A4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rja","1"
"169","emanuele","A6",0,0,0,0,0,0,0,1,0,0,0,320,0,320,0,1,"ija","1"
"170","emanuele","B2",0,0,0,0,0,0,0,1,0,0,0,274,0,274,0,1,"ija","1"
"171","emanuele","B5",0,1,0,0,0,0,0,1,1,0,0,864,0,118,0,1,"ija","1"
"172","emanuele","B6",1,0,0,0,0,0,0,1,0,1,0,98,0,98,0,1,"rja","1"
"173","emanuele","B7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rja","1"
