"","video_clip","RECORDING_SESSION_LABEL","TRIAL_INDEX","CURRENT_FIX_DURATION","CURRENT_FIX_INDEX","CURRENT_FIX_INTEREST_AREAS","CURRENT_FIX_START","TRIAL_FIXATION_TOTAL","TRIAL_LABEL","VIDEO_NAME_END","VIDEO_NAME_START","ROIfundo","ROIfrente","anchor_time","correction_time","CRUZ_START.x","CRUZ_END.x","parte_trial","CRUZ_START.y","CRUZ_END.y","trial","Estímulo(referencia esq/dir - olhando para tela)","Roi cabeça(fundo)","ROI alvo (frente)","ROI Nalvo (frente)","acerto_fundo","acerto_frente","olhou_pro_errado"
"70","A1","asafe.2",11,788,4,"[ 3]",2006,12,"Trial: 11","A1.avi","A1.avi",3,NA,1440,566,"3750","4250","pre_cruz","3750","4250",11,"RJA - olhar pra direita (adulto)",3,8,7,"TRUE","FALSE","FALSE"
"71","A1","asafe.2",11,1008,5,"[ 3]",2830,12,"Trial: 11","A1.avi","A1.avi",3,NA,2264,566,"3750","4250","pre_cruz","3750","4250",11,"RJA - olhar pra direita (adulto)",3,8,7,"TRUE","FALSE","FALSE"
"72","A1","asafe.2",11,138,6,"[ ]",4034,12,"Trial: 11","A1.avi","A1.avi",NA,NA,3468,566,"3750","4250","pre_cruz","3750","4250",11,"RJA - olhar pra direita (adulto)",3,8,7,"FALSE","FALSE","FALSE"
"73","A1","asafe.2",11,278,7,"[ 3]",4208,12,"Trial: 11","A1.avi","A1.avi",3,NA,3642,566,"3750","4250","pre_cruz","3750","4250",11,"RJA - olhar pra direita (adulto)",3,8,7,"TRUE","FALSE","FALSE"
"74","A1","asafe.2",11,134,8,"[ 3]",4504,12,"Trial: 11","A1.avi","A1.avi",3,NA,3938,566,"3750","4250","cruz","3750","4250",11,"RJA - olhar pra direita (adulto)",3,8,7,"TRUE","FALSE","FALSE"
"75","A1","asafe.2",11,56,9,"[ 5]",4662,12,"Trial: 11","A1.avi","A1.avi",5,NA,4096,566,"3750","4250","cruz","3750","4250",11,"RJA - olhar pra direita (adulto)",3,8,7,"FALSE","FALSE","FALSE"
"76","A1","asafe.2",11,248,10,"[ 3]",4740,12,"Trial: 11","A1.avi","A1.avi",3,NA,4174,566,"3750","4250","cruz","3750","4250",11,"RJA - olhar pra direita (adulto)",3,8,7,"TRUE","FALSE","FALSE"
"77","A1","asafe.2",11,448,11,"[ 3]",5010,12,"Trial: 11","A1.avi","A1.avi",3,NA,4444,566,"3750","4250","pos_cruz","3750","4250",11,"RJA - olhar pra direita (adulto)",3,8,7,"TRUE","FALSE","FALSE"
"78","A1","asafe.2",11,1484,12,"[ 3]",5474,12,"Trial: 11","A1.avi","A1.avi",3,NA,4908,566,"3750","4250","pos_cruz","3750","4250",11,"RJA - olhar pra direita (adulto)",3,8,7,"TRUE","FALSE","FALSE"
"79","A1","ayla",11,768,1,"[ 3]",14,7,"Trial: 11","A1.avi",".",3,NA,0,14,"3750","4250","pre_cruz","3750","4250",11,"RJA - olhar pra direita (adulto)",3,8,7,"TRUE","FALSE","FALSE"
"80","A1","ayla",11,216,2,"[ 3]",804,7,"Trial: 11","A1.avi","A1.avi",3,NA,790,14,"3750","4250","pre_cruz","3750","4250",11,"RJA - olhar pra direita (adulto)",3,8,7,"TRUE","FALSE","FALSE"
"81","A1","ayla",11,1160,3,"[ 3]",1040,7,"Trial: 11","A1.avi","A1.avi",3,NA,1026,14,"3750","4250","pre_cruz","3750","4250",11,"RJA - olhar pra direita (adulto)",3,8,7,"TRUE","FALSE","FALSE"
"82","A1","ayla",11,560,4,"[ 3]",2224,7,"Trial: 11","A1.avi","A1.avi",3,NA,2210,14,"3750","4250","pre_cruz","3750","4250",11,"RJA - olhar pra direita (adulto)",3,8,7,"TRUE","FALSE","FALSE"
"83","A1","ayla",11,274,5,"[ 4]",4140,7,"Trial: 11","A1.avi","A1.avi",4,7,4126,14,"3750","4250","cruz","3750","4250",11,"RJA - olhar pra direita (adulto)",3,8,7,"FALSE","FALSE","TRUE"
"84","A1","ayla",11,394,6,"[ 3]",4448,7,"Trial: 11","A1.avi","A1.avi",3,NA,4434,14,"3750","4250","pos_cruz","3750","4250",11,"RJA - olhar pra direita (adulto)",3,8,7,"TRUE","FALSE","FALSE"
"85","A1","ayla",11,1528,7,"[ 3]",4862,7,"Trial: 11","A1.avi","A1.avi",3,NA,4848,14,"3750","4250","pos_cruz","3750","4250",11,"RJA - olhar pra direita (adulto)",3,8,7,"TRUE","FALSE","FALSE"
